epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47591.2,1.34163,0.77338,1.0486,0.72587,0.60081,0.66131,0.37379,1.3598,0.73778,1.0457,0.00532333,0.00532333,0.00532333
43,48718.7,1.33885,0.77253,1.04702,0.72653,0.59968,0.66145,0.37386,1.35966,0.7374,1.04552,0.00514693,0.00514693,0.00514693
44,49846,1.33807,0.76929,1.04662,0.72802,0.60031,0.6618,0.37408,1.35942,0.73681,1.04527,0.00497108,0.00497108,0.00497108
45,50973.3,1.33565,0.76687,1.04452,0.72821,0.59975,0.66183,0.37413,1.35935,0.73645,1.04501,0.00479604,0.00479604,0.00479604
46,52101.1,1.3347,0.76445,1.04413,0.7271,0.59919,0.6618,0.3746,1.35922,0.73612,1.04484,0.00462209,0.00462209,0.00462209
47,53228.9,1.33509,0.76249,1.04528,0.73224,0.59709,0.66125,0.37516,1.35898,0.73572,1.04465,0.0044495,0.0044495,0.0044495
48,54357.5,1.33299,0.7608,1.04338,0.73514,0.59556,0.66219,0.37546,1.35873,0.73524,1.04442,0.00427852,0.00427852,0.00427852
49,55485.5,1.32985,0.75686,1.04155,0.74053,0.59353,0.6631,0.37566,1.35856,0.73497,1.04409,0.00410942,0.00410942,0.00410942
50,56611.8,1.32911,0.75635,1.04163,0.74234,0.59447,0.66386,0.37601,1.35812,0.73464,1.04369,0.00394247,0.00394247,0.00394247
51,57739.8,1.32706,0.75359,1.04059,0.74316,0.59525,0.66464,0.37663,1.35773,0.73425,1.04347,0.00377792,0.00377792,0.00377792
52,58866.6,1.32431,0.75074,1.03921,0.73852,0.59528,0.6646,0.37663,1.35761,0.73393,1.04329,0.00361603,0.00361603,0.00361603
53,59993.6,1.32389,0.75036,1.04041,0.74419,0.59474,0.66516,0.37743,1.3572,0.7337,1.04315,0.00345704,0.00345704,0.00345704
54,61121.5,1.32458,0.74715,1.0391,0.74377,0.59631,0.66597,0.37783,1.35709,0.7335,1.04301,0.0033012,0.0033012,0.0033012
55,62249.8,1.32127,0.7439,1.03849,0.74189,0.59804,0.66681,0.37854,1.35689,0.73329,1.04285,0.00314876,0.00314876,0.00314876
56,63378.6,1.31906,0.74131,1.03656,0.74278,0.59779,0.66684,0.37831,1.3568,0.73306,1.04267,0.00299993,0.00299993,0.00299993
57,64506.4,1.31769,0.73952,1.03713,0.74114,0.59882,0.66674,0.37884,1.35671,0.73272,1.04261,0.00285497,0.00285497,0.00285497
58,65634.5,1.31704,0.73697,1.03538,0.74219,0.60009,0.66751,0.3791,1.35655,0.7326,1.0425,0.00271408,0.00271408,0.00271408
59,66761.9,1.31596,0.73574,1.03512,0.74554,0.59936,0.66758,0.37933,1.35651,0.73258,1.04236,0.00257748,0.00257748,0.00257748
60,67890.4,1.31287,0.73155,1.03255,0.74268,0.60154,0.66796,0.37966,1.35649,0.7325,1.04218,0.0024454,0.0024454,0.0024454
61,69017.6,1.31202,0.72995,1.03299,0.74448,0.60162,0.66819,0.37971,1.35649,0.73239,1.04206,0.00231802,0.00231802,0.00231802
62,70148,1.30875,0.72712,1.031,0.7442,0.60365,0.66892,0.37998,1.35647,0.73228,1.0419,0.00219555,0.00219555,0.00219555
63,71275.8,1.30887,0.7243,1.02995,0.74461,0.60207,0.66817,0.37982,1.35637,0.73218,1.04174,0.00207817,0.00207817,0.00207817
64,72402.8,1.3067,0.72214,1.02896,0.74433,0.60217,0.66902,0.37981,1.35637,0.73204,1.04163,0.00196607,0.00196607,0.00196607
65,73530.1,1.30296,0.71834,1.02859,0.744,0.60282,0.66906,0.37986,1.35634,0.73202,1.04152,0.00185942,0.00185942,0.00185942
66,74656.6,1.30365,0.71708,1.02877,0.74467,0.6013,0.66916,0.38007,1.35645,0.73188,1.04142,0.00175839,0.00175839,0.00175839
67,75782.3,1.30024,0.71455,1.02709,0.74532,0.60245,0.66916,0.38037,1.35651,0.73191,1.04131,0.00166312,0.00166312,0.00166312
68,76909.6,1.2989,0.7116,1.02691,0.74235,0.60557,0.66972,0.38036,1.35682,0.73185,1.04128,0.00157377,0.00157377,0.00157377
69,78036.2,1.29818,0.71046,1.02554,0.74159,0.60546,0.67032,0.38027,1.35693,0.73182,1.04117,0.00149047,0.00149047,0.00149047
70,79163.4,1.29623,0.70838,1.02551,0.74317,0.60396,0.67024,0.38025,1.35722,0.73188,1.04117,0.00141336,0.00141336,0.00141336
71,80268.8,1.34049,0.72018,1.04192,0.74419,0.6056,0.67008,0.38044,1.35748,0.73215,1.04117,0.00134254,0.00134254,0.00134254
72,81363.3,1.33647,0.71608,1.0402,0.74413,0.60602,0.66996,0.3804,1.35769,0.73236,1.04131,0.00127814,0.00127814,0.00127814
73,82458.1,1.33606,0.71355,1.03983,0.74559,0.6059,0.66973,0.38022,1.35798,0.73258,1.04137,0.00122025,0.00122025,0.00122025
74,83552.5,1.33355,0.71098,1.03772,0.74911,0.60433,0.66964,0.37999,1.35826,0.73277,1.04135,0.00116895,0.00116895,0.00116895
75,84648.2,1.33202,0.70914,1.03855,0.75145,0.6028,0.66954,0.37991,1.35864,0.73297,1.0415,0.00112434,0.00112434,0.00112434
76,85748.9,1.3308,0.7074,1.03705,0.74835,0.60266,0.66967,0.37991,1.35916,0.7331,1.04159,0.00108647,0.00108647,0.00108647
77,86848.4,1.32894,0.70553,1.03639,0.74772,0.60277,0.66983,0.37989,1.35984,0.73324,1.04176,0.0010554,0.0010554,0.0010554
78,87948.1,1.32698,0.70336,1.03604,0.7467,0.60426,0.67007,0.37994,1.3604,0.73345,1.04198,0.00103119,0.00103119,0.00103119
79,89047.6,1.32586,0.70261,1.03502,0.74267,0.60538,0.66907,0.37976,1.361,0.73353,1.04219,0.00101387,0.00101387,0.00101387
80,90147,1.32457,0.70124,1.03508,0.74183,0.60604,0.66915,0.37946,1.36165,0.7336,1.04243,0.00100347,0.00100347,0.00100347
