epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51301.8,1.34045,0.77219,1.04694,0.71823,0.60404,0.66192,0.37447,1.36041,0.73653,1.04527,0.00532333,0.00532333,0.00532333
43,52522.8,1.3384,0.76841,1.04433,0.71863,0.60579,0.66259,0.37477,1.36003,0.73604,1.04477,0.00514693,0.00514693,0.00514693
44,53743.4,1.33647,0.76537,1.04338,0.71996,0.60722,0.6635,0.37515,1.35991,0.73552,1.04444,0.00497108,0.00497108,0.00497108
45,54964.7,1.33469,0.76199,1.0428,0.7222,0.6071,0.66446,0.37562,1.35977,0.73498,1.04415,0.00479604,0.00479604,0.00479604
46,56186.8,1.33473,0.76246,1.04405,0.72377,0.60663,0.66442,0.37569,1.35958,0.7346,1.04398,0.00462209,0.00462209,0.00462209
47,57408.8,1.33284,0.7603,1.04243,0.72291,0.60667,0.66515,0.37643,1.35943,0.73412,1.04371,0.0044495,0.0044495,0.0044495
48,58630.5,1.32887,0.7565,1.03998,0.72876,0.60253,0.66464,0.37644,1.35929,0.73374,1.04344,0.00427852,0.00427852,0.00427852
49,59851.9,1.32822,0.75407,1.03931,0.72828,0.60344,0.6652,0.3765,1.35911,0.73335,1.04322,0.00410942,0.00410942,0.00410942
50,61073.6,1.32879,0.75261,1.03914,0.72441,0.60558,0.66477,0.37701,1.35903,0.73307,1.04298,0.00394247,0.00394247,0.00394247
51,62302,1.32548,0.75072,1.0399,0.72756,0.60693,0.66562,0.37762,1.3589,0.73278,1.04287,0.00377792,0.00377792,0.00377792
52,63525,1.32413,0.74803,1.03712,0.72472,0.60775,0.66556,0.3781,1.35889,0.73258,1.04273,0.00361603,0.00361603,0.00361603
53,64747.7,1.3245,0.74758,1.03737,0.72381,0.60943,0.66675,0.37813,1.35861,0.73232,1.04239,0.00345704,0.00345704,0.00345704
54,65970.5,1.32027,0.74371,1.03589,0.72775,0.60792,0.66778,0.37859,1.35861,0.73208,1.04219,0.0033012,0.0033012,0.0033012
55,67194.7,1.31727,0.73927,1.03397,0.7319,0.6065,0.66902,0.37915,1.35847,0.73182,1.042,0.00314876,0.00314876,0.00314876
56,68419.7,1.31684,0.73847,1.03356,0.73371,0.60661,0.66908,0.3796,1.35846,0.73166,1.04175,0.00299993,0.00299993,0.00299993
57,69644.9,1.31705,0.73665,1.03415,0.73099,0.60703,0.66918,0.37976,1.3583,0.73157,1.04165,0.00285497,0.00285497,0.00285497
58,70867.4,1.31372,0.73277,1.03279,0.7294,0.60783,0.66941,0.3801,1.35817,0.73148,1.0415,0.00271408,0.00271408,0.00271408
59,72091.2,1.31183,0.73057,1.03154,0.73726,0.60426,0.66946,0.38028,1.35796,0.73131,1.04118,0.00257748,0.00257748,0.00257748
